Data Type,Content
Page Title,Welcome to PassItOn.com | The Foundation for a Better Life
Link,Pass It On® | The Foundation for a Better Life -> /
Link,QUOTES -> /inspirational-quotes
Link,VIDEOS -> /inspirational-stories-tv-spots
Link,Official Pass It On® Videos -> /inspirational-stories-tv-spots
Link,ArtCenter College of Design PSAs -> /artcenter-psas
Link,BILLBOARDS -> /inspirational-sayings-billboards
Link,STORIES -> /positive-good-news-stories
Link,Positive Good News Stories -> /positive-good-news-stories
Link,PassItOn® Stories eBook -> /free-ebook/download
Link,PODCAST -> /inspirational-audio-stories
Link,RADIO -> /radio
Link,BLOG -> /passiton-blog
Link,SCHOOLS -> /poster-requests/new
Link,FREE Posters -> /poster-requests/new
Link,PassItOn® Stories eBook -> /free-ebook/download
Paragraph 1,Get a daily inspirational quote in your inbox each weekday! Enter your email below to subscribe.
Paragraph 2,"“If you see someone without a smile, give them one of yours.”"
Paragraph 3,Dolly Parton
Paragraph 4,"“Sometimes your joy is the source of your smile, and sometimes your smile is the source of your joy.”"
Paragraph 5,Thich Nhat Hanh
